company_name,static_score,dynamic_score,combined_score,score_change_static_to_dynamic,score_change_static_to_combined,total_score_change,abs_total_change,pattern
LEONI AG,11.569852184760697,30.68455143852875,21.734754560428268,19.114699253768052,10.164902375667571,10.164902375667571,10.164902375667571,Challenged
DILLINGER HUTTENWERKE,62.99950131011474,46.742573485454045,59.202540171801,-16.256927824660693,-3.7969611383137405,-3.7969611383137405,3.7969611383137405,Mixed
CTS EVENTIM AG & CO KGAA,47.42407743104969,35.86648315372772,42.93056145419348,-11.557594277321968,-4.493515976856209,-4.493515976856209,4.493515976856209,Mixed
DIEBOLD NIXDORF AG,35.66368351098025,24.88999162386644,60.68869698454043,-10.77369188711381,25.02501347356018,25.02501347356018,25.02501347356018,Improving Trend
SYNLAB AG,30.463867203135912,28.42267210317803,37.301757628118374,-2.041195099957882,6.8378904249824615,6.8378904249824615,6.8378904249824615,Challenged
TELE COLUMBUS AG,5.7990469009727015,38.395562535847944,99.99998967617321,32.596515634875246,94.20094277520052,94.20094277520052,94.20094277520052,Improving Trend
DEUTSCHE BAHN AG,10.612316329631664,12.632402263341124,15.71976527813309,2.02008593370946,5.1074489485014265,5.1074489485014265,5.1074489485014265,Challenged
DEUTSCHE TELEKOM,44.57887254987965,22.86384538403056,56.265892315715185,-21.715027165849087,11.687019765835537,11.687019765835537,11.687019765835537,Mixed
DERMAPHARM HOLDING,37.17324469271151,26.810713867831904,57.0682878745996,-10.36253082487961,19.895043181888084,19.895043181888084,19.895043181888084,Mixed
SARTORIUS AG,38.136794658836834,29.49967841374542,61.072912493365706,-8.637116245091413,22.936117834528872,22.936117834528872,22.936117834528872,Improving Trend
EWE-ENERGIEVERSORGUNG WESER,49.272645872321995,39.078356215984996,51.00614873598849,-10.194289656336998,1.7335028636664944,1.7335028636664944,1.7335028636664944,Mixed
DOUGLAS AG,31.550103825898614,11.7082472917549,31.742533362328878,-19.841856534143716,0.1924295364302644,0.1924295364302644,0.1924295364302644,Challenged
HAMBURGER HAFEN UND LOGISTIK,41.74231256231603,34.273081392944476,67.3010602199312,-7.469231169371554,25.55874765761517,25.55874765761517,25.55874765761517,Improving Trend
COVESTRO AG,43.37383189529955,37.92576648113187,70.34275378106139,-5.448065414167679,26.968921885761837,26.968921885761837,26.968921885761837,Improving Trend
ENBW ENERGIE BADEN,35.40393973172034,24.962660831802932,47.792959630532664,-10.44127889991741,12.389019898812322,12.389019898812322,12.389019898812322,Mixed
DEUTZ AG,54.19979394974467,39.80028944543347,62.589347112735794,-14.399504504311196,8.389553162991128,8.389553162991128,8.389553162991128,Mixed
UNITED INTERNET AG,62.76960320415994,35.304839661541926,55.49129309627033,-27.464763542618016,-7.2783101078896095,-7.2783101078896095,7.2783101078896095,Mixed
RHEINMETALL AG,53.13715121151027,34.16609673163595,59.89449487555476,-18.97105447987432,6.757343664044491,6.757343664044491,6.757343664044491,Mixed
WACKER NEUSON SE,48.40252397895755,41.56503773432566,66.01359010138052,-6.83748624463189,17.61106612242297,17.61106612242297,17.61106612242297,Mixed
KOENIG & BAUER AG,51.27020806153083,31.78617041334144,65.30107668326254,-19.48403764818939,14.030868621731706,14.030868621731706,14.030868621731706,Mixed
IONOS GROUP SE,17.61062760101779,0.032531672281622605,21.39971133417561,-17.578095928736168,3.7890837331578204,3.7890837331578204,3.7890837331578204,Challenged
ZALANDO SE,45.20012749784467,25.77189581186032,66.68873431891643,-19.42823168598435,21.488606821071762,21.488606821071762,21.488606821071762,Improving Trend
SPRINGER NATURE AG,38.81726402703824,100.0,42.78227831574587,61.18273597296176,3.9650142887076285,3.9650142887076285,3.9650142887076285,Mixed
WIRECARD AG,24.593223785175418,9.094746129796954,48.042525648787695,-15.498477655378464,23.449301863612277,23.449301863612277,23.449301863612277,Improving Trend
ROCKET INTERNET SE,0.0,5.697516261139982,0.0,5.697516261139982,0.0,0.0,0.0,Challenged
EVONIK INDUSTRIES AG,64.81476664595831,45.70612052451784,70.47894254716971,-19.108646121440472,5.664175901211394,5.664175901211394,5.664175901211394,Mixed
